ID,Business Sector,Business Function,Business Process,Business Activity,Technology,Skills
124,Mining,Community and Stakeholder Relations,Stakeholder Involvement,Labour,,
125,Mining,Community and Stakeholder Relations,Stakeholder Involvement,Unions,,
126,Mining,Community and Stakeholder Relations,Stakeholder Involvement,Employees,,
127,Mining,"Mining Operations,Human Resources (HR)",Ease of Use and Adoption,Practicality of technologies,,
128,Mining,"Mining Operations,Human Resources (HR)",Ease of Use and Adoption,Project Value Realisation,,
129,Mining,"Mining Operations,Human Resources (HR)",Ease of Use and Adoption,Motivation (No Incentives),,
130,Mining,Corporate Development and Strategy, Change Management,Ineffective change management,,
131,Mining,Corporate Development and Strategy, Change Management,communication,,
132,Mining,Corporate Development and Strategy, Change Management,Change Resistance,,
133,Mining,Corporate Development and Strategy, Change Management,Reskilling,,
134,Mining,"Mining Operations,Health  Safety  and Environment (HSE)",Worker Safety,Safety message announcement,,
135,Mining,"Mining Operations,Health  Safety  and Environment (HSE)",Worker Safety,Monitoring of staff and visitor presence,,
136,Mining,Legal and Compliance,Contract management,Digitally update and follow-up contracts towards clients,,
137,Mining,Legal and Compliance,Contract management,Digitally track sub-contractor and supplier,,
138,Mining,Legal and Compliance,Contract management,payment management,,
139,Mining,Mining Operations,Quality control,Collect and monitor progress reports,,
140,Mining,Mining Operations,Quality control,Quality inspections with mobile devices,,
141,Mining,Mining Operations,Scheduling,"Create, assign, and prioritize tasks in real time and distribute to mobile devices",,
142,Mining,Mining Operations,Scheduling,Plan and simulate site progress in 4D-software,,
143,Mining,Mining Operations,Scheduling,Maintain a digital construction site disposition plan,,
144,Mining,Mining Operations,Logistics,"Identify, track and locate material and equipment on-site with digital tools",,
145,Mining,Mining Operations,Logistics,"Digitally monitor procurement orders, receipts, use, and quality issues",,
146,Mining,Mining Operations,Logistics,Maintain digital bill of quantities,,
147,Mining,Mining Operations,Design management,Visualize drawings and 3D models on-site on mobile platforms,,
148,Mining,Mining Operations,Design management,"Update digital drawings, models and technical information with notes and asbuilt records",,
149,Mining,Mining Operations,Ventiltion requirements,Dust control measures,,
150,Mining,Mining Operations,Ventiltion requirements,control measures,,
151,Mining,Mining Operations,Ventiltion requirements,Satbilization of haul road surfaces,,
152,Mining,Mining Operations,Ventiltion requirements,Utilization of fog cannons for visible dust,,
153,Mining,Mining Operations,Ventiltion requirements,Dust supression installation systems,,
154,Mining,"Mining Operations,Processing and Metallurgy",Mineral processing,Comminution,,
155,Mining,"Mining Operations,Processing and Metallurgy",Mineral processing,Ore characterization,,
156,Mining,"Mining Operations,Processing and Metallurgy",Mineral processing,Process facilities,,
157,Mining,"Mining Operations,Processing and Metallurgy",Mineral processing,Plant operation and mainatainance philosophy,,
158,Mining,"Mining Operations,Processing and Metallurgy",Mineral processing,Expandability and expansion options,,
159,Mining,"Mining Operations,Processing and Metallurgy",Mineral processing,Classification,,
160,Mining,"Mining Operations,Processing and Metallurgy",Mineral processing,Gravity Separation,,
161,Mining,"Mining Operations,Processing and Metallurgy",Mineral processing,Flotation,,
162,Mining,"Mining Operations,Processing and Metallurgy",Mineral processing,Magnetic Separation,,
163,Mining,"Mining Operations,Processing and Metallurgy",Mineral processing,Leaching,,
164,Mining,"Mining Operations,Processing and Metallurgy",Mineral processing,Dewatering,,
165,Mining,"Mining Operations,Processing and Metallurgy",Mineral processing,Smelting and Refining,,
166,Mining,Mining Operations,Mine access,Blind splot,,
167,Mining,Mining Operations,Mine access,Intersections,,
168,Mining,Mining Operations,Mine access,Safety berms and ditches,,
169,Mining,Mining Operations,Mine access,Equipment selection process,,
170,Mining,Mining Operations,Mine access,Material handling,,
171,Mining,Mining Operations,Mine access,haul road cross-sections,,
172,Mining,Mining Operations,Mine access,drainage requirements,,
173,Mining,Mining Operations,Mine access,road construction materials,,
174,Mining,"Exploration and Geology,Marketing and sales",Market analysis,Product specification,,
175,Mining,"Exploration and Geology,Marketing and sales",Market analysis,Demand and supply forecast,,
176,Mining,"Exploration and Geology,Marketing and sales",Market analysis,Pricing strategy,,
177,Mining,"Exploration and Geology,Marketing and sales",Market analysis,Competitors,,
178,Mining,"Exploration and Geology,Marketing and sales",Market analysis,Revenue forecast,,
179,Mining,"Exploration and Geology,Marketing and sales",Market analysis,Product shipping storage and distribution,,
180,Mining,Mining Operations,Undeground and surface infrastructure,Utilities,,
181,Mining,Mining Operations,Undeground and surface infrastructure,Change rooms,,
182,Mining,Mining Operations,Undeground and surface infrastructure,Underground waiting areas,,
183,Mining,Mining Operations,Undeground and surface infrastructure,Transport infrastructures,,
184,Mining,Mining Operations,Undeground and surface infrastructure,Temporary infrastructures,,
185,Mining,Mining Operations,Undeground and surface infrastructure,Communication,,
186,Mining,Mining Operations,Undeground and surface infrastructure,Building and facilities ,,
187,Energy,"operations,Health  Safety  and Environment (HSE,Logistics,Finance,Corporate Development and Strategy, IT, Research and Development",Data Utilization and Analytics,Data Collection,,
188,Energy,"operations,Health  Safety  and Environment (HSE,Logistics,Finance,Corporate Development and Strategy, IT, Research and Development",Data Utilization and Analytics,Data Storage,,
189,Energy,"operations,Health  Safety  and Environment (HSE,Logistics,Finance,Corporate Development and Strategy, IT, Research and Development",Data Utilization and Analytics,Data Management,,
190,Energy,"IT, Research and Development,HR, Finance, Logistics, operations",Data Utilization and Analytics,Data Visualization,,
191,Energy,"IT, Research and Development,HR, Finance, Logistics, operations",Automation and Robotics,Alerts,,
192,Energy,"operations, IT, Research and Development,HR, Finance, ",Automation and Robotics,Alarms,,
193,Energy,"operations,Power Generation",Automation and Robotics,Maintenance,,
194,Energy,"operations,Power Generation",Automation and Robotics,Inspection,,
195,Energy,"operations,Power Generation",Automation and Robotics,SCADA systems,,
196,Energy,"operations,Power Generation",Automation and Robotics,Drilling ,,
197,Energy,"operations,Power Generation",Automation and Robotics,Remotely Operated Vehicles,,
198,Energy,"operations,Power Generation",Automation and Robotics,Stability risk analysis,,
199,Energy,"operations,Power Generation",Automation and Robotics,Solar Panel Cleaning:,,
200,Energy,"operations,Power Generation",Automation and Robotics,Fault Detection,,
201,Energy,"operations,Power Generation",Automation and Robotics,Digital device in slope geometry,,
202,Energy,"operations,Power Generation",Automation and Robotics,Load Balancing,,
203,Energy,"operations,Power Generation",Automation and Robotics,Leak Detection,,
204,Energy,"operations,Power Generation",Automation and Robotics,Value Chain Visualisation,,
205,Energy,"operations,Power Generation",Automation and Robotics,Robotic Inspection,,
206,Energy,"operations,Power Generation",Automation and Robotics,Energy Storage,,
207,Energy,Customer Service,Chatbots,customer inquiries,,
208,Energy,Customer Service,Billing,billing and payment processing,,
209,Energy,Customer Service,Virtual Assistants,customer interactions,,
210,Energy,Customer Service,Sentiment Analysis,customer feedback,,
211,Energy,Customer Service,Knowledge Base Management,manage and update customer,,
212,Energy,Customer Service, Feedback Analysis, customer feedback,,
213,Energy,Customer Service,Predictive Support,historical data,,
214,Energy,Customer Service,Service Ticketing,Decision making,,
215,Energy,Customer Service,Live Chat Support,real-time customer interaction,,
216,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Predictive Maintenance,,
217,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Asset Optimization,,
218,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Power Plant Simulation,,
219,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Grid Simulation,,
220,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Building Energy Management,,
221,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Demand Response Optimization,,
222,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Wind and Solar Farm Modeling,,
223,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Energy Storage Optimization,,
224,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Fault Detection and Isolation,,
225,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Emissions Monitoring and Mitigation,,
226,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Disaster Response Planning,,
227,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Compliance Modeling,,
228,Energy,"Supply Chain and Logistics,Safety, Health, Environment and Quality(SHEQ),Corporate Development and Strategy,Human Resources (HR),operations",Advanced Communication and Connectivity,Wireless network,,
229,Energy,"Supply Chain and Logistics,Safety, Health, Environment and Quality(SHEQ),Corporate Development and Strategy,Human Resources (HR),operations",Advanced Communication and Connectivity,Satelite communication,,
230,Energy,"Supply Chain and Logistics,Safety, Health, Environment and Quality(SHEQ),Corporate Development and Strategy,Human Resources (HR),operations",Advanced Communication and Connectivity,Fibre optics,,
231,Energy,"Supply Chain and Logistics,Safety, Health, Environment and Quality(SHEQ),Corporate Development and Strategy,Human Resources (HR),operations",Advanced Communication and Connectivity,Sensitive data,,
232,Energy,Safety and Compliance,Cybersecurity and Data Privacy,Infrastructure,,
233,Energy,Safety and Compliance,Cybersecurity and Data Privacy,Operational systems,,
234,Energy,Safety and Compliance,Cybersecurity and Data Privacy,Data privacy,,
235,Energy,Safety and Compliance,Cybersecurity and Data Privacy,Intrusion Detection and Prevention,,
236,Energy,Safety and Compliance,Cybersecurity and Data Privacy,Data Encryption and Secure Communication,,
237,Energy,Safety and Compliance,Cybersecurity and Data Privacy,Access Control and Authentication,,
238,Energy,Safety and Compliance,Cybersecurity and Data Privacy,Incident Response and Recovery,,
239,Energy,Safety and Compliance,Cybersecurity and Data Privacy,Compliance with Regulatory Requirements,,
240,Energy,Safety and Compliance,Cybersecurity and Data Privacy,Continuous Monitoring and Auditing,,
241,Energy,Supply Chain and Logistics,Supply Chain Digitization,Procurement,,
242,Energy,Supply Chain and Logistics,Supply Chain Digitization,Logistics,,
243,Energy,Supply Chain and Logistics,Supply Chain Digitization,Inventory management,,
244,Energy,Supply Chain and Logistics,Supply Chain Digitization,Real time tracking,,
245,Energy,Human Resources (HR),Workforce Skills and Training,Training programs,,
246,Energy,Human Resources (HR),Recruitment,Hiring Process,,
247,Energy,Human Resources (HR),Boarding,Orientation,,
248,Energy,Human Resources (HR),Discplinary,Hearing,,
249,Energy,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Environmental impact,,
250,Energy,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Energy consumption,,
251,Energy,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Sustainable Energy practice,,
252,Energy,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,smart energy management,,
253,Energy,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,waste reduction,,
254,Energy,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Rehabilitation,,
255,Energy,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Digital authority involvement in environmental issues,,
256,Energy,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,"Digital plan, monitoring and tracking of environmental issues",,
257,Energy,"Finance,Corporate Development and Strategy",Strategic Vision and Leadership,Strategic vision,,
258,Energy,"Finance,Corporate Development and Strategy",Strategic Vision and Leadership,Leadership commitment,,
259,Energy,"Finance,Corporate Development and Strategy",Strategic Vision and Leadership,Organizational structure,,
260,Energy,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,Enabling Real-Time Visibility,,
261,Energy,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,Alarms,,
262,Energy,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,Alerts,,
263,Energy,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,Remote Troubleshooting Capabilities,,
264,Energy,operations,Power Generation ,Transmission Infrastructure,,
265,Energy,operations,Power Generation ,Distribution Networks,,
266,Energy,operations,Power Generation ,Grid Stability and Reliability,,
267,Energy,operations,Power Generation ,Renewable Integration,,
268,Energy,operations,Power Generation ,Environmental Impact,,
269,Energy,operations,Power Generation ,Generation Capacity,,
270,Energy,operations,Power Generation ,Electricity Generation,,
271,Energy,operations,generation technology,Heat Rate,,
272,Energy,operations,generation technology,Forced Outage Rate,,
273,Energy,operations,generation technology,Conversion Efficiency,,
274,Energy,operations,generation technology,Emissions Intensity,,
275,Energy,operations,generation technology,Fuel Cost,,
276,Energy,operations,generation technology,Interconnection Capacity,,
277,Energy,operations,generation technology,Nuclear Capacity Factor,,
278,Energy,operations,generation technology,Electricity Generation,,
279,Energy,Finance,Digital Capability,IT Infrastructure,,
280,Energy,Finance,Digital Capability,Descriptive Analysis,,
281,Energy, Finance,Digital Capability,Predictive Analysis,,
282,Energy,Human Resources (HR),Human Resources,Training on digital platforms,,
283,Energy,Human Resources (HR),Human Resources,Monitor skills on digital platforms,,
284,Energy,Human Resources (HR),Human Resources,Digitally monitor staff health status,,
285,Energy,Human Resources (HR),Human Resources,Change Management,,
286,Energy,Human Resources (HR),Human Resources,Reskilling,,
287,Energy,Human Resources (HR),Human Resources,Stakeholder Engagement,,
288,Energy,Human Resources (HR),Worker Enablement,Quick Decision,,
289,Energy,Human Resources (HR),Worker Enablement,Making Employee,,
290,Energy,Human Resources (HR),Worker Enablement,Enablement,,
291,Energy,Human Resources (HR),Worker Enablement,Employee Effectiveness,,
292,Energy,Human Resources (HR),Culture,Work Transformation,,
293,Energy,Human Resources (HR),Culture,Changing Behaviour,,
294,Energy,Human Resources (HR),Culture,Departmental Transformation,,
295,Energy,Human Resources (HR),Culture,People Transformation,,
296,Energy,"Marketing and sales,Corporate Development and Strategy",Customer Experience,Customer Satisfaction,,
297,Energy,"Marketing and sales,Corporate Development and Strategy",Customer Experience,Mine to Customer,,
298,Energy,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Integrated Operations Centres,,
299,Energy,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Realtime data,,
300,Energy,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Integration,,
301,Energy,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Data-Driven Mine,,
302,Energy,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Eliminating Silos,,
303,Energy,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Single Platform,,
304,Energy,Human Resources (HR),Performance Management,Value Chain Optimisation,,
305,Energy,Human Resources (HR),Performance Management,Business Intelligence,,
306,Energy,Human Resources (HR),Performance Management,Business Improvement,,
307,Energy,Human Resources (HR),Performance Management,Shareholder Returns,,
308,Energy,Human Resources (HR),Performance Management,Key Performance Indicators,,
309,Energy,Community and Stakeholder Relations,Stakeholder Involvement,Labour,,
310,Energy,Community and Stakeholder Relations,Stakeholder Involvement,Unions,,
311,Energy,Community and Stakeholder Relations,Stakeholder Involvement,Employees,,
312,Energy,"operations,Human Resources (HR)",Ease of Use and Adoption,Practicality of technologies,,
313,Energy,"operations,Human Resources (HR)",Ease of Use and Adoption,Project Value Realisation,,
314,Energy,"operations,Human Resources (HR)",Ease of Use and Adoption,Motivation (No Incentives),,
315,Energy,Corporate Development and Strategy, Change Management,Ineffective change management,,
316,Energy,Corporate Development and Strategy, Change Management,communication,,
317,Energy,Corporate Development and Strategy, Change Management,Change Resistance,,
318,Energy,Corporate Development and Strategy, Change Management,Reskilling,,
319,Energy,"operations,Safety, Health, Environment and Quality(SHEQ)",Worker Safety,Safety message announcement,,
320,Energy,"operations,Safety, Health, Environment and Quality(SHEQ)",Worker Safety,Monitoring of staff and visitor presence,,
321,Energy,Safety and Compliance,Contract management,Digitally update and follow-up contracts towards clients,,
322,Energy,Safety and Compliance,Contract management,Digitally track sub-contractor and supplier,,
323,Energy,Safety and Compliance,Contract management,payment management,,
324,Energy,operations,Quality control,Collect and monitor progress reports,,
325,Energy,operations,Quality control,Quality inspections with mobile devices,,
326,Energy,operations,Scheduling,"Create, assign, and prioritize tasks in real time and distribute to mobile devices",,
327,Energy,operations,Scheduling,Plan and simulate site progress in 4D-software,,
328,Energy,operations,Scheduling,Maintain a digital construction site disposition plan,,
329,Energy,operations,Logistics,"Identify, track and locate material and equipment on-site with digital tools",,
330,Energy,operations,Logistics,"Digitally monitor procurement orders, receipts, use, and quality issues",,
331,Energy,operations,Logistics,Maintain digital bill of quantities,,
332,Energy,operations,Design management,Visualize drawings and 3D models on-site on mobile platforms,,
333,Energy,operations,Design management,"Update digital drawings, models and technical information with notes and asbuilt records",,
334,Energy,operations,Ventiltion requirements,Dust control measures,,
335,Energy,operations,Ventiltion requirements,control measures,,
336,Energy,operations,Ventiltion requirements,Satbilization of haul road surfaces,,
337,Energy,operations,Ventiltion requirements,Utilization of fog cannons for visible dust,,
338,Energy,operations,Ventiltion requirements,Dust supression installation systems,,
339,Energy,"operations,Power Generation",Mineral processing,Comminution,,
340,Energy,"operations,Power Generation",Mineral processing,Ore characterization,,
341,Energy,"operations,Power Generation",Mineral processing,Process facilities,,
342,Energy,"operations,Power Generation",Mineral processing,Plant operation and mainatainance philosophy,,
343,Energy,"operations,Power Generation",Mineral processing,Expandability and expansion options,,
344,Energy,"operations,Power Generation",Mineral processing,Classification,,
345,Energy,"operations,Power Generation",Mineral processing,Gravity Separation,,
346,Energy,"operations,Power Generation",Mineral processing,Flotation,,
347,Energy,"operations,Power Generation",Mineral processing,Magnetic Separation,,
348,Energy,"operations,Power Generation",Mineral processing,Leaching,,
349,Energy,"operations,Power Generation",Mineral processing,Dewatering,,
350,Energy,"operations,Power Generation",Mineral processing,Smelting and Refining,,
351,Energy,operations,Mine access,Blind splot,,
352,Energy,operations,Mine access,Intersections,,
353,Energy,operations,Mine access,Safety berms and ditches,,
354,Energy,operations,Mine access,Equipment selection process,,
355,Energy,operations,Mine access,Material handling,,
356,Energy,operations,Mine access,haul road cross-sections,,
357,Energy,operations,Mine access,drainage requirements,,
358,Energy,operations,Mine access,road construction materials,,
359,Energy,"Exploration and Geology,Marketing and sales",Market analysis,Product shipping storage and distribution,,
